date	close	volume	open	high	low
2017-07-28	0.3991	10167	0.3974	0.4011	0.3973
2017-07-27	0.401	8649	0.4006	0.401	0.4006
2017-07-26	0.4266	5520	0.4359	0.4359	0.4266
2017-07-25	0.3947	24714	0.391	0.4046	0.3798
2017-07-24	0.391	19000	0.388	0.4048	0.388
2017-07-21	0.386	10970	0.3792	0.3937	0.3792
2017-07-20	0.372	11510	0.3675	0.372	0.3675
2017-07-19	0.3773	12181	0.3655	0.3773	0.365
2017-07-18	0.3545	83505	0.344	0.369	0.3181
2017-07-17	0.3545	73518	0.4011	0.4011	0.3358
2017-07-14	0.3994	10498	0.392	0.3994	0.392
2017-07-13	0.4052	1066	0.41	0.41	0.3979
2017-07-12	0.4208	5483	0.4082	0.4208	0.4
2017-07-11	0.42	24700	0.4356	0.4356	0.4141
2017-07-10	0.4388	48612	0.45	0.46	0.4222
2017-07-07	0.46	13360	0.46	0.4614	0.46
2017-07-06	0.4647	3850	0.4899	0.4899	0.46
2017-07-05	0.4945	12000	0.4578	0.4945	0.4578
2017-07-03	0.49	0	0.49	0.49	0.49
2017-06-30	0.49	8383	0.465	0.49	0.465
2017-06-29	0.4782	6440	0.4934	0.5021	0.4782
2017-06-28	0.4632	4613	0.5012	0.5012	0.4617
2017-06-27	0.483	1200	0.507	0.507	0.4661
2017-06-26	0.4795	1424	0.5	0.5	0.4795
2017-06-23	0.4871	4900	0.4941	0.4941	0.4871
2017-06-22	0.5	333	0.5	0.5	0.5
2017-06-21	0.4997	18282	0.4856	0.54	0.4856
2017-06-20	0.4951	15166	0.4801	0.4951	0.4791
2017-06-19	0.468	1357	0.4667	0.4744	0.4667
2017-06-16	0.5	18250	0.4515	0.5045	0.4515
2017-06-15	0.451	14866	0.45	0.492	0.45
2017-06-14	0.46	27500	0.4753	0.4753	0.46
2017-06-13	0.48	41599	0.4972	0.4972	0.48
2017-06-12	0.4988	3500	0.5	0.5	0.4801
2017-06-09	0.48	23939	0.48	0.5001	0.48
2017-06-08	0.4872	8666	0.4797	0.5	0.4789
2017-06-07	0.468	12656	0.48	0.48	0.468
2017-06-06	0.4727	30296	0.4707	0.4851	0.461
2017-06-05	0.499	43417	0.5437	0.5437	0.4985
2017-06-02	0.5007	41674	0.54	0.54	0.4956
2017-06-01	0.5436	145376	0.495	0.5671	0.4912
2017-05-31	0.491	335910	0.435	0.51	0.4097
2017-05-30	0.3894	65792	0.4172	0.43	0.3842
2017-05-26	0.4187	2000	0.4187	0.4187	0.4187
